rank,name,pos,team,POSRANK,BYE,MB,MC,TC,EK,FY,AVG
33,C.Hyde, RB, SF,RB16,11,38,30,29,44,23,32.8
34,M.Crabtree, WR, OAK,WR17,10,34,35,48,31,42,38
35,D.Cook, RB, MIN,RB17,9,51,41,33,29,37,38.2
36,K.Allen, WR, LAC,WR18,9,26,37,66,37,30,39.2
37,C.McCaffery, RB, CAR,RB18,11,42,42,40,27,48,39.8
38,D.Adams, WR, GB,WR19,8,31,32,49,39,53,40.8
39,T.Montgomery, RB, GB,RB19,8,54,46,35,42,33,42
40,T.Brady, QB, NE,QB1,9,37,44,46,49,39,43
41,J.Mixon, RB, CIN,RB20,6,60,47,36,30,45,43.6
42,A.Rodgers, QB, GB,QB2,8,52,43,39,48,46,45.6
43,G.Tate, WR, DET,WR20,7,45,60,42,38,43,45.6
44,J.Reed, TE, WAS,TE2,5,35,49,51,47,47,45.8
45,T.Kelce, TE, KC,TE3,10,58,50,44,45,35,46.4
46,E.Sanders, WR, DEN,WR21,5,46,36,37,56,64,47.8
47,K.Benjamin, WR, CAR,WR22,11,36,34,55,60,59,48.8
48,A.Robinson, WR, JAC,WR23,8,56,38,38,59,65,51.2
